scenario,item,period,demand,emergency_price,emergency_supply
s0000,relief_food,1,67.68595377570287,2.4221360273079537,83.01339525246756
s0000,relief_food,2,73.97514851772203,2.673047713822076,129.19404268818172
s0000,relief_food,3,92.94315881513613,2.953097484522659,225.95594932861982
s0000,relief_food,4,102.152243088977,2.75080235184022,59.06748391034691
s0001,relief_food,1,78.42831902341852,2.9946797533248217,62.025343445351446
s0001,relief_food,2,167.98796909290675,3.222987500494,104.91062055403171
s0001,relief_food,3,127.11650542420402,3.2449820299904073,170.60918350794606
s0001,relief_food,4,92.52294862069574,2.755991765538228,110.90434402787596
s0002,relief_food,1,74.93671339819433,2.8230417416961617,94.04902155308332
s0002,relief_food,2,113.11763694707763,2.934340376596083,126.40720379954645
s0002,relief_food,3,213.7262247830023,3.032656345942078,89.03132337974218
s0002,relief_food,4,80.8554740893404,3.0282484353909456,97.53064858696145
s0003,relief_food,1,94.02862670521021,2.804797386439532,70.80292484232557
s0003,relief_food,2,107.86655921443895,3.010255713012963,119.95913714309194
s0003,relief_food,3,186.31256200040423,3.640584505443279,91.64303408957034
s0003,relief_food,4,127.48177808628333,2.8513942781164454,105.20413995772957
s0004,relief_food,1,85.30101952325259,2.3428739914814685,123.30043963884941
s0004,relief_food,2,95.69235438057343,2.5088991479340836,192.5663194449742
s0004,relief_food,3,115.325999534862,2.7121744359944984,168.24031270537665
s0004,relief_food,4,122.72648872273118,3.1598618625232566,68.76109196350949
s0005,relief_food,1,76.77676589734389,3.0160043600243736,117.25588732444048
s0005,relief_food,2,89.55802380436374,2.880618138804397,125.04464726034897
s0005,relief_food,3,105.70612054748858,2.84075906363056,112.6614321542268
s0005,relief_food,4,65.54997918161949,2.969117545559005,121.9223276530925
s0006,relief_food,1,68.9411924261329,2.774113694382499,104.29143233303503
s0006,relief_food,2,57.36171314688816,3.019064269317751,130.62555811679715
s0006,relief_food,3,104.69965411641691,3.0380689327861155,154.23173638445834
s0006,relief_food,4,94.29455882902498,2.8709867456535103,125.1781779301759
s0007,relief_food,1,112.9215948678328,3.0648201765760925,99.6141415860641
s0007,relief_food,2,123.10694726141242,2.7856701250095712,146.56835644879584
s0007,relief_food,3,132.16534420110892,3.05834312393481,137.76801333262503
s0007,relief_food,4,62.20266190567852,2.78005462508796,117.60592102202703
s0008,relief_food,1,149.1316441099134,2.8966718095963344,50.74867829154535
s0008,relief_food,2,206.4647624113283,3.4207432452139694,71.79978449382001
s0008,relief_food,3,95.77615741479379,2.688113473167528,157.48933634292692
s0008,relief_food,4,62.08467536026544,2.9135408301399393,158.90252391437187
s0009,relief_food,1,115.01547952847942,2.8389469602513326,85.7763585466466
s0009,relief_food,2,119.33523209672438,2.429357541030165,126.66696338940098
s0009,relief_food,3,112.54926027903527,3.1291101074919716,97.31419982331701
s0009,relief_food,4,76.1450313093685,3.0759045620719405,87.79930717439738
s0010,relief_food,1,63.894133956096624,2.387083846331252,99.26140203091106
s0010,relief_food,2,105.87185371420684,2.5390507081568185,131.85870054380894
s0010,relief_food,3,70.43892075479802,2.5058850187465693,189.45865316313748
s0010,relief_food,4,66.60845142387421,2.4084132408883403,108.24172766185522
s0011,relief_food,1,97.01704185132128,2.6153330336780063,112.27739705378012
s0011,relief_food,2,36.789329870716955,2.3541398293518925,121.67836650068739
s0011,relief_food,3,91.27805386471556,3.1386655564780312,142.69452880142828
s0011,relief_food,4,112.16436182610347,2.87671680911071,118.18898989251309
s0012,relief_food,1,50.8973468240235,2.7712256383653004,146.84971915208212
s0012,relief_food,2,123.15135816871587,3.266070655927101,133.02147413968495
s0012,relief_food,3,125.49014183072684,2.908351230795778,171.3300503627169
s0012,relief_food,4,79.10546958699047,2.547148733507275,116.94172167875425
s0013,relief_food,1,94.43052130447815,2.728677746306119,62.81871697764908
s0013,relief_food,2,123.0425441810985,2.4076117367458933,95.48525763232959
s0013,relief_food,3,66.97473863148468,2.59022402840362,168.8270577460197
s0013,relief_food,4,86.6898157520695,2.9285161605139343,139.27833600833372
s0014,relief_food,1,83.43265292831634,2.53133761560823,99.08668386421441
s0014,relief_food,2,151.66934397543505,3.1093361604774503,113.79994930515676
s0014,relief_food,3,33.85593934201475,2.3622113788891426,127.8728436769433
s0014,relief_food,4,61.55935017238675,2.3660179533601773,92.88191284647155
s0015,relief_food,1,86.44782426924458,3.001014735902025,109.611866622606
s0015,relief_food,2,177.81807763764132,3.0708727977579366,11.834570789751755
s0015,relief_food,3,94.67958695640611,2.275026138147294,180.92468594627695
s0015,relief_food,4,113.86642143197936,3.0062234367795533,63.239176792752545
s0016,relief_food,1,117.09866218069442,2.590407276179024,83.54585920079273
s0016,relief_food,2,109.30040133469674,3.1180235489371113,120.22014758348563
s0016,relief_food,3,180.7805202402857,3.4916775533779005,106.17109884112088
s0016,relief_food,4,136.3951695561944,2.9309612786781285,14.744875344466388
s0017,relief_food,1,119.12660626605559,3.0089391746887504,128.22473585192097
s0017,relief_food,2,124.76613410041489,2.2939618608371135,75.17533663628477
s0017,relief_food,3,136.3082733712068,2.5224367818431026,109.26530063849171
s0017,relief_food,4,61.00446271360021,2.6859258037226614,113.32833621672745
s0018,relief_food,1,61.83715039734422,2.7022921391073984,84.3695080600402
s0018,relief_food,2,103.11012959276158,2.8373715933188683,136.7357416575913
s0018,relief_food,3,65.97342119132688,2.802351310753971,171.17005135369118
s0018,relief_food,4,95.03996262823901,2.474021239747337,99.74973741775804
s0019,relief_food,1,80.34751684925644,2.9169150243540347,71.99664596525515
s0019,relief_food,2,112.6807496914297,3.0325969229421488,85.45967696778708
s0019,relief_food,3,107.97212398490365,3.1052933470836046,169.39494455384354
s0019,relief_food,4,70.28943327072142,2.6541907158937583,126.91174584924799
